"Date,""Dernier"",""Ouv."","" Plus Haut"",""Plus Bas"",""Vol."",""Variation %"""
"10/11/2023,""385,00"",""385,00"",""385,00"",""380,00"",""1,26K"",""1,32%"""
"09/11/2023,""380,00"",""380,05"",""389,90"",""378,25"",""8,55K"",""-2,56%"""
"08/11/2023,""390,00"",""389,00"",""390,00"",""389,00"",""0,56K"",""0,00%"""
"07/11/2023,""390,00"",""386,20"",""390,85"",""375,00"",""2,67K"",""-0,75%"""
"03/11/2023,""392,95"",""392,95"",""392,95"",""392,95"",""0,48K"",""0,50%"""
"02/11/2023,""391,00"",""378,00"",""391,00"",""378,00"",""3,19K"",""-0,48%"""
"01/11/2023,""392,90"",""388,00"",""392,90"",""380,00"",""3,81K"",""1,52%"""
"31/10/2023,""387,00"",""387,50"",""387,50"",""382,00"",""7,21K"",""-1,53%"""
"30/10/2023,""393,00"",""386,65"",""393,00"",""386,40"",""0,66K"",""-0,43%"""
"25/10/2023,""394,70"",""390,50"",""394,70"",""380,00"",""2,51K"",""-0,57%"""
"24/10/2023,""396,95"",""386,05"",""396,95"",""386,05"",""0,26K"",""-0,01%"""
"23/10/2023,""397,00"",""399,85"",""399,85"",""385,05"",""0,74K"",""0,01%"""
"20/10/2023,""396,95"",""399,85"",""399,95"",""396,95"",""0,35K"",""-0,51%"""
"19/10/2023,""399,00"",""391,20"",""399,00"",""390,00"",""0,45K"",""1,99%"""
"18/10/2023,""391,20"",""396,00"",""396,00"",""390,00"",""0,03K"",""0,28%"""
"17/10/2023,""390,10"",""397,95"",""397,95"",""388,20"",""2,06K"",""-1,74%"""
"16/10/2023,""397,00"",""390,00"",""397,00"",""390,00"",""1,71K"",""1,79%"""
"13/10/2023,""390,00"",""400,00"",""400,00"",""389,00"",""1,03K"",""0,00%"""
"12/10/2023,""390,00"",""388,00"",""401,00"",""388,00"",""3,42K"",""-1,99%"""
"11/10/2023,""397,90"",""386,20"",""397,90"",""386,20"",""6,32K"",""-0,76%"""
"10/10/2023,""400,95"",""385,05"",""400,95"",""385,05"",""0,35K"",""1,51%"""
"09/10/2023,""395,00"",""385,25"",""401,00"",""385,25"",""5,02K"",""-1,74%"""
"06/10/2023,""402,00"",""407,95"",""407,95"",""402,00"",""3,97K"",""0,34%"""
"05/10/2023,""400,65"",""399,00"",""400,65"",""388,05"",""16,68K"",""5,99%"""
"04/10/2023,""378,00"",""361,00"",""378,00"",""361,00"",""0,12K"",""2,44%"""
"03/10/2023,""369,00"",""382,00"",""382,00"",""369,00"",""7,66K"",""-4,40%"""
"02/10/2023,""386,00"",""386,00"",""386,00"",""386,00"",""1,62K"",""0,00%"""
"27/09/2023,""386,00"",""384,95"",""386,00"",""384,95"",""5,58K"",""0,27%"""
"26/09/2023,""384,95"",""380,00"",""384,95"",""380,00"",""0,43K"",""-0,01%"""
"25/09/2023,""385,00"",""380,00"",""386,00"",""371,00"",""0,68K"",""-0,50%"""
"22/09/2023,""386,95"",""375,00"",""387,00"",""375,00"",""1,84K"",""1,56%"""
"21/09/2023,""381,00"",""375,00"",""381,00"",""375,00"",""10,99K"",""0,26%"""
"20/09/2023,""380,00"",""371,00"",""380,00"",""366,00"",""1,80K"",""1,71%"""
"19/09/2023,""373,60"",""370,05"",""376,00"",""370,00"",""0,58K"",""0,96%"""
"18/09/2023,""370,05"",""371,25"",""371,25"",""366,20"",""0,62K"",""-2,36%"""
"15/09/2023,""379,00"",""365,00"",""379,00"",""360,05"",""4,67K"",""5,28%"""
"14/09/2023,""360,00"",""360,00"",""360,00"",""360,00"",""0,18K"",""0,00%"""
"13/09/2023,""360,00"",""360,00"",""360,00"",""360,00"",""0,73K"",""-0,01%"""
"12/09/2023,""360,05"",""350,15"",""360,05"",""350,15"",""0,79K"",""0,01%"""
"11/09/2023,""360,00"",""369,90"",""369,90"",""360,00"",""0,33K"",""-1,10%"""
"08/09/2023,""364,00"",""369,90"",""369,90"",""364,00"",""4,20K"",""0,75%"""
"07/09/2023,""361,30"",""369,95"",""369,95"",""360,30"",""1,88K"",""-2,32%"""
"06/09/2023,""369,90"",""361,00"",""369,90"",""361,00"",""6,20K"",""1,57%"""
"05/09/2023,""364,20"",""368,00"",""368,00"",""364,00"",""3,61K"",""-0,49%"""
