"Date,""Dernier"",""Ouv."","" Plus Haut"",""Plus Bas"",""Vol."",""Variation %"""
"09/11/2023,""261,00"",""260,95"",""261,00"",""260,95"",""5,92K"",""-0,31%"""
"08/11/2023,""261,80"",""261,95"",""262,00"",""258,00"",""5,02K"",""0,69%"""
"07/11/2023,""260,00"",""262,00"",""262,00"",""260,00"",""3,99K"",""0,39%"""
"03/11/2023,""259,00"",""257,00"",""261,00"",""257,00"",""2,26K"",""-0,77%"""
"02/11/2023,""261,00"",""261,00"",""261,00"",""261,00"",""4,36K"",""0,00%"""
"01/11/2023,""261,00"",""257,05"",""263,10"",""257,00"",""1,66K"",""-0,36%"""
"31/10/2023,""261,95"",""261,00"",""261,95"",""258,10"",""19,73K"",""0,36%"""
"30/10/2023,""261,00"",""262,00"",""262,00"",""256,50"",""20,40K"",""0,00%"""
"27/10/2023,""261,00"",""261,15"",""262,95"",""260,10"",""11,02K"",""-0,06%"""
"26/10/2023,""261,15"",""261,15"",""261,15"",""261,15"",""9,62K"",""-0,31%"""
"25/10/2023,""261,95"",""261,20"",""264,95"",""261,20"",""26,47K"",""-1,43%"""
"24/10/2023,""265,75"",""262,50"",""265,85"",""262,50"",""23,90K"",""-0,09%"""
"23/10/2023,""266,00"",""262,00"",""266,00"",""262,00"",""4,89K"",""1,14%"""
"20/10/2023,""263,00"",""261,05"",""263,00"",""261,05"",""43,22K"",""-0,75%"""
"19/10/2023,""265,00"",""264,45"",""265,00"",""261,00"",""24,78K"",""1,53%"""
"18/10/2023,""261,00"",""261,50"",""263,95"",""261,00"",""35,58K"",""-0,19%"""
"17/10/2023,""261,50"",""262,05"",""263,95"",""261,50"",""26,06K"",""-0,21%"""
"16/10/2023,""262,05"",""262,10"",""265,00"",""262,05"",""25,17K"",""-0,36%"""
"13/10/2023,""263,00"",""265,85"",""265,85"",""263,00"",""31,92K"",""-0,74%"""
"12/10/2023,""264,95"",""264,00"",""265,85"",""262,20"",""40,13K"",""0,36%"""
"11/10/2023,""264,00"",""265,90"",""265,90"",""264,00"",""19,44K"",""-0,73%"""
"10/10/2023,""265,95"",""262,10"",""265,95"",""262,10"",""38,04K"",""-0,36%"""
"09/10/2023,""266,90"",""267,05"",""267,05"",""260,20"",""66,51K"",""-1,15%"""
"06/10/2023,""270,00"",""280,00"",""280,00"",""267,15"",""97,50K"",""1,09%"""
"05/10/2023,""267,10"",""265,00"",""267,10"",""264,95"",""262,05K"",""5,99%"""
"04/10/2023,""252,00"",""253,20"",""253,95"",""252,00"",""6,83K"",""-0,77%"""
"03/10/2023,""253,95"",""253,00"",""254,00"",""252,00"",""32,41K"",""0,38%"""
"02/10/2023,""253,00"",""254,90"",""254,90"",""253,00"",""12,24K"",""-0,76%"""
"27/09/2023,""254,95"",""252,00"",""256,45"",""250,05"",""21,50K"",""0,00%"""
"26/09/2023,""254,95"",""256,45"",""256,45"",""252,50"",""6,73K"",""-0,41%"""
"25/09/2023,""256,00"",""251,00"",""256,00"",""250,00"",""12,30K"",""1,59%"""
"22/09/2023,""252,00"",""255,00"",""256,00"",""250,00"",""2,86K"",""0,00%"""
"21/09/2023,""252,00"",""255,00"",""255,60"",""251,00"",""15,02K"",""-1,18%"""
"20/09/2023,""255,00"",""250,20"",""256,90"",""250,00"",""24,47K"",""0,79%"""
"19/09/2023,""253,00"",""250,20"",""253,00"",""250,20"",""19,52K"",""0,22%"""
"18/09/2023,""252,45"",""253,00"",""253,00"",""250,00"",""12,06K"",""0,18%"""
"15/09/2023,""252,00"",""253,00"",""253,00"",""252,00"",""11,13K"",""-0,20%"""
"14/09/2023,""252,50"",""250,10"",""253,50"",""250,00"",""12,53K"",""0,20%"""
"13/09/2023,""252,00"",""253,90"",""254,00"",""252,00"",""5,35K"",""-0,79%"""
"12/09/2023,""254,00"",""252,00"",""254,00"",""252,00"",""4,63K"",""0,79%"""
"11/09/2023,""252,00"",""254,00"",""257,00"",""252,00"",""27,40K"",""-0,79%"""
"08/09/2023,""254,00"",""253,00"",""258,75"",""253,00"",""10,83K"",""-0,39%"""
"07/09/2023,""255,00"",""258,00"",""258,95"",""255,00"",""27,79K"",""-0,78%"""
"06/09/2023,""257,00"",""261,90"",""261,90"",""257,00"",""12,22K"",""-0,77%"""
"05/09/2023,""259,00"",""260,00"",""262,00"",""259,00"",""25,76K"",""-0,38%"""
"04/09/2023,""260,00"",""258,00"",""262,00"",""257,00"",""6,35K"",""0,00%"""
"01/09/2023,""260,00"",""257,00"",""264,00"",""257,00"",""15,75K"",""-1,70%"""
"31/08/2023,""264,50"",""254,00"",""264,50"",""254,00"",""69,83K"",""4,09%"""
"30/08/2023,""254,10"",""254,00"",""255,00"",""254,00"",""30,56K"",""0,00%"""
"29/08/2023,""254,10"",""256,00"",""256,00"",""254,00"",""2,48K"",""-0,35%"""
"28/08/2023,""255,00"",""255,00"",""255,05"",""254,00"",""34,57K"",""0,35%"""
"25/08/2023,""254,10"",""254,70"",""256,00"",""254,00"",""15,82K"",""-0,37%"""
"24/08/2023,""255,05"",""256,00"",""256,00"",""254,05"",""7,90K"",""-0,02%"""
"23/08/2023,""255,10"",""255,75"",""256,00"",""255,00"",""19,92K"",""-0,39%"""
"22/08/2023,""256,10"",""260,00"",""260,00"",""256,10"",""51,64K"",""-0,77%"""
"18/08/2023,""258,10"",""260,00"",""260,00"",""258,10"",""37,24K"",""-0,73%"""
"17/08/2023,""260,00"",""260,00"",""260,00"",""260,00"",""13,52K"",""-0,17%"""
"16/08/2023,""260,45"",""257,00"",""260,95"",""257,00"",""14,84K"",""0,17%"""
"15/08/2023,""260,00"",""258,00"",""261,95"",""257,00"",""8,22K"",""0,78%"""
"11/08/2023,""258,00"",""258,05"",""259,85"",""258,00"",""62,43K"",""-1,92%"""
"10/08/2023,""263,05"",""260,00"",""263,05"",""260,00"",""24,47K"",""1,17%"""
